PARKING_ID,NAME,AREA,GEOM
1,B970 Parking,419.96,POINT (-3.8333065 57.18228)
2,Car Park Loch an Eilein,2503.09,POINT (-3.8450607 57.1575246)
3,Rothiemurchus Car Park,4764.68,POINT (-3.8158052 57.1766161)
5,Aviemore Car Park,1569.82,POINT (-3.8289793 57.1905202)
6,Loch Morlich Car Park,1265.15,POINT (-3.7226875 57.1654578)
7,Wanderparkplatz Cairngorms,426.73,POINT (-3.6929046 57.1677782)
8,Sugarbowl Car Park,796.48,POINT (-3.8285048 57.200489)
9,Cairngorm Motorhome Park,9256.04,POINT (-3.6713033 57.1348877)
10,Linn of Dee Car Park,6512.03,POINT (-3.3966657 57.0046471)
12,Inverey Car Park,559.84,POINT (-3.4914492 56.98712)
13,Braemar Castle Car Park,956.08,POINT (-3.3974324 57.0126538)
14,Balmoral Car Park,2704.83,POINT (-3.2209936 57.04276)
15,Spittal of Glen Muick Car Park,1950.07,POINT (-3.1393741 56.9516456)
16,Tomintoul Car Park,1757.16,POINT (-3.3792279 57.2517075)
